Title,"Image Link",Type,Seats,Speed,Range,"Price Per Hour"
"Gulfstream G500",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G500-PrivateFly-AC2628.jpg,LongRangeJets,14,"488 kts","5200 nm",12500
"Gulfstream G650",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G650-PrivateFly-AA9575.jpg,LongRangeJets,14,"488 kts","7500 nm",12000
"Cessna Citation Longitude",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-Citation-Longitude-PrivateFly-AA9631.jpg,LongRangeJets,8,"490 kts","4000 nm",3200
"Gulfstream G300",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G300-PrivateFly-AA9832.jpg,LongRangeJets,12,"500 kts","3486 nm",4400
"Gulfstream G550",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G550-PrivateFly-AA9582.jpg,LongRangeJets,15,"500 kts","6750 nm",5556
"Bombardier Global 5000",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Bombardier-Global-5000-PrivateFly-AA9561.jpg,LongRangeJets,13,"511 kts","4724 nm",5500
"Bombardier Global Express",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Bombardier-Global-Express-PrivateFly-AA9551.jpg,LongRangeJets,14,"511 kts","5320 nm",5641
"Bombardier Global Express XRS",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Bombardier-Global-Express-XRS-PrivateFly-AA9547.jpg,LongRangeJets,14,"511 kts","6055 nm",5650
"Bombardier Global 6000",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Bombardier-Global-6000-PrivateFly-AA9562.jpg,LongRangeJets,14,"511 kts","6055 nm",5650
"Bombardier Global 7500",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Bombardier-Global-7500-PrivateFly-AC2723.jpeg,LongRangeJets,16,"530 kts","7700 nm",13000
"Falcon 5X",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-5X-PrivateFly-AA9581.jpg,LongRangeJets,14,"595 kts","5200 nm",8519
Title,"Image Link",Type,Seats,Speed,Range,"Price Per Hour"
"An 28",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/An-28-PrivateFly-AA1438.jpg,RegionalAirliners,18,"190 kts","736 nm",4000
"Shorts 330",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Shorts-330-PrivateFly-AA1526.jpg,RegionalAirliners,30,"190 kts","460 nm",8500
"Let 410 / Let 420",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Let-410-Let-420-PrivateFly-AA5885.jpg,RegionalAirliners,19,"195 kts","295 nm",8500
"CASA C-212",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/CASA-C-212-PrivateFly-AA1474.jpg,RegionalAirliners,24,"200 kts","750 nm",2000
"EMB 110 Bandeirante",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/EMB-110-Bandeirante-PrivateFly-AA1550.jpg,RegionalAirliners,19,"210 kts","800 nm",8500
"Shorts 360",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Shorts-360-PrivateFly-AA1515.jpg,RegionalAirliners,39,"210 kts","400 nm",8500
"De Havilland DHC-6 Twin Otter",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/De-Havilland-DHC-6-Twin-Otter-PrivateFly-AA5877.jpg,RegionalAirliners,20,"210 kts","700 nm",1994
"De Havilland DHC-7",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/De-Havilland-DHC-7-PrivateFly-AA1442.jpg,RegionalAirliners,54,"215 kts","1170 nm",8500
"An 30",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/An-30-PrivateFly-AA1508.jpg,RegionalAirliners,50,"230 kts","1600 nm",8600
"An 24",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/An-24-PrivateFly-AA1567.jpg,RegionalAirliners,52,"240 kts","1300 nm",8500
"An 26",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/An-26-PrivateFly-AA5869.jpg,RegionalAirliners,40,"240 kts","1500 nm",8600
"CASA CN-235",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/CASA-CN-235-PrivateFly-AA1479.jpg,RegionalAirliners,44,"240 kts","860 nm",3000
"Fokker F50",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Fokker-F50-PrivateFly-AA1492.jpg,RegionalAirliners,58,"240 kts","1100 nm",8500
"Dornier 228",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Dornier-228-PrivateFly-AA1553.jpg,RegionalAirliners,19,"245 kts","560 nm",8500
"SA226 Metro",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/SA226-Metro-PrivateFly-AA1548.jpg,RegionalAirliners,19,"248 kts","900 nm",2000
"An 32",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/An-32-PrivateFly-AA1557.jpg,RegionalAirliners,50,"250 kts","1500 nm",8000
"Fokker F27",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Fokker-F27-PrivateFly-AA1504.jpg,RegionalAirliners,60,"260 kts","935 nm",8500
"Jetstream 31 / 32",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Jetstream-31-32-PrivateFly-AA5944.jpg,RegionalAirliners,19,"264 kts","750 nm",8500
ATP,//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/ATP-PrivateFly-AA1562.jpg,RegionalAirliners,68,"270 kts","620 nm",8500
"De Havilland DHC-8 100/200",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/De-Havilland-DHC-8-100-200-PrivateFly-AA1443.jpg,RegionalAirliners,40,"270 kts","1100 nm",8000
ATR72,//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/ATR72-PrivateFly-AA1458.jpg,RegionalAirliners,74,"280 kts","910 nm",4400
"Saab 340",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Saab-340-PrivateFly-AA1563.jpg,RegionalAirliners,37,"280 kts","870 nm",8500
"Beechcraft 1900",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Beechcraft-1900-PrivateFly-CC-AA4621.jpg,RegionalAirliners,19,"283 kts","700 nm",3000
"De Havilland DHC-8 300",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/De-Havilland-DHC-8-300-PrivateFly-AA1568.jpg,RegionalAirliners,56,"285 kts","700 nm",8500
"Jetstream 41",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Jetstream-41-PrivateFly-AA1560.jpg,RegionalAirliners,29,"295 kts","775 nm",8500
"Gulfstream G1",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G1-PrivateFly-AA1531.jpg,RegionalAirliners,18,"300 kts","1500 nm",2500
ATR42,//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/ATR42-PrivateFly-AA1477.jpg,RegionalAirliners,50,"300 kts","900 nm",3700
"EMB 120 Brasilia",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/EMB-120-Brasilia-PrivateFly-AA1456.jpg,RegionalAirliners,30,"300 kts","850 nm",2000
"Dornier 328",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Dornier-328-PrivateFly-AA1460.jpg,RegionalAirliners,33,"320 kts","900 nm",3446
"De Havilland DHC-8 400",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/De-Havilland-DHC-8-400-PrivateFly-AA1529.jpg,RegionalAirliners,78,"350 kts","1400 nm",9000
"BA146-300 / Avro RJ100",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/BA146-300-Avro-RJ100-PrivateFly-AA1473.jpg,RegionalAirliners,128,"360 kts","1490 nm",8000
"Saab 2000",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Saab-2000-PrivateFly-AA1512.jpg,RegionalAirliners,58,"360 kts","1000 nm",5000
